sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2020-04-24;5995,00;6005,00;5940,00;6045,00;5900,00;6000,00;5983,342;6760;40446877,5;1384;
2020-04-23;6050,00;6060,00;6170,00;6210,00;6020,00;6035,00;6066,241;6417;38928347,5;1189;
2020-04-22;6165,00;6175,00;6000,00;6175,00;5865,00;6170,00;6026,32;10175;61296127,5;2243;
2020-04-21;5955,00;5965,00;6040,00;6050,00;5905,00;5950,00;5969,531;8223;49086927,5;1749;
2020-04-20;6125,00;6135,00;6280,00;6290,00;5985,00;6130,00;6098,593;10113;61676342,5;2098;
2020-04-17;6210,00;6220,00;6100,00;6290,00;6050,00;6235,00;6192,273;12700;78629592,5;2894;
2020-04-16;5875,00;5890,00;5890,00;5960,00;5820,00;5935,00;5896,178;14816;87338812,5;2651;
2020-04-15;5785,00;5800,00;6130,00;6135,00;5775,00;5780,00;5897,381;11289;66579222,5;2149;
2020-04-14;6135,00;6150,00;6270,00;6290,00;6095,00;6130,00;6144,944;6314;38796245;1231;
2020-04-08;6030,00;6035,00;6130,00;6140,00;6000,00;6025,00;6054,295;5936;35938327,5;1269;
2020-04-07;6185,00;6200,00;6090,00;6405,00;6090,00;6195,00;6261,031;9055;56706622,5;2033;
2020-04-06;5885,00;5900,00;5595,00;5930,00;5565,00;5900,00;5795,364;12608;73034577,5;2815;
2020-04-03;5370,00;5385,00;5375,00;5500,00;5340,00;5385,00;5399,789;6190;33424342,5;1369;
2020-04-02;5440,00;5460,00;5580,00;5660,00;5330,00;5435,00;5490,272;6635;36428087,5;1555;
2020-04-01;5605,00;5615,00;5635,00;5635,00;5480,00;5575,00;5562,913;7460;41498215;1822;
2020-03-31;5655,00;5665,00;5650,00;5735,00;5600,00;5635,00;5667,954;12849;72829217,5;2125;
2020-03-30;5440,00;5445,00;5510,00;5530,00;5285,00;5420,00;5426,205;9201;49926510;1898;
2020-03-27;5465,00;5485,00;5700,00;5700,00;5380,00;5515,00;5510,622;11479;63256885;2610;
2020-03-26;5640,00;5665,00;5265,00;5655,00;5190,00;5655,00;5490,444;18371;100871130;4249;
2020-03-25;5250,00;5265,00;5350,00;5545,00;5115,00;5240,00;5301,577;15998;84877495;3996;
2020-03-24;5035,00;5060,00;4900,00;5110,00;4754,00;5050,00;4940,712;16413;81093031;3262;
2020-03-23;4660,00;4678,00;4846,00;4942,00;4600,00;4640,00;4724,927;16462;77794155;3959;
2020-03-20;4974,00;4996,00;5325,00;5340,00;4850,00;4988,00;5022,173;23985;120448435,5;4494;
2020-03-19;4818,00;4842,00;5190,00;5335,00;4730,00;4778,00;4933,753;18111;89374497,5;3363;
2020-03-18;5170,00;5200,00;5765,00;5830,00;5115,00;5180,00;5364,512;18312;98231167,5;3702;
2020-03-17;5705,00;5720,00;5640,00;5840,00;5530,00;5750,00;5720,257;15483;88576497,5;3122;
2020-03-16;5580,00;5595,00;5470,00;5685,00;5290,00;5585,00;5468,574;14440;78967835;3473;
2020-03-13;5625,00;5640,00;5640,00;6140,00;5560,00;5685,00;5811,637;21916;127367455;6044;
2020-03-12;5395,00;5415,00;5600,00;5800,00;5395,00;5395,00;5560,977;13711;76241912,5;3233;
2020-03-11;6040,00;6055,00;6035,00;6160,00;5975,00;6050,00;6052,044;8181;49511295;1804;
2020-03-10;5965,00;5980,00;6005,00;6300,00;5930,00;5980,00;6083,694;16999;103412515;3931;
2020-03-09;5830,00;5845,00;5640,00;5900,00;5520,00;5815,00;5758,496;14413;82999285;2660;
2020-03-06;6085,00;6095,00;6180,00;6180,00;5895,00;6065,00;6017,34;12491;75159517,5;2615;
2020-03-05;6235,00;6245,00;6555,00;6570,00;6225,00;6255,00;6353,142;8368;53163095;1788;
2020-03-04;6320,00;6330,00;6465,00;6490,00;6285,00;6305,00;6378,006;6579;41960667,5;1671;
2020-03-03;6415,00;6430,00;6510,00;6555,00;6345,00;6425,00;6448,626;9167;59114540;2166;
2020-03-02;6350,00;6365,00;6860,00;6930,00;6205,00;6325,00;6392,867;12770;81638025;2583;
2020-02-28;6430,00;6440,00;6440,00;6480,00;6265,00;6395,00;6378,138;16965;108212665,92;2888;
2020-02-27;6530,00;6545,00;6840,00;6850,00;6410,00;6550,00;6597,051;15046;99013482,95;3273;
2020-02-26;6985,00;7015,00;6905,00;7060,00;6590,00;6970,00;6915,213;17118;118331606,22;4119;
2020-02-25;6990,00;7000,00;7175,00;7270,00;6930,00;6990,00;7041,305;8161;57466506,07;1889;
2020-02-24;7160,00;7175,00;7385,00;7385,00;7115,00;7165,00;7190,44;7081;50908700,8;1408;
2020-02-21;7575,00;7585,00;7715,00;7745,00;7565,00;7565,00;7619,077;7495;57112017,42;1576;
2020-02-20;7715,00;7725,00;7970,00;8345,00;7610,00;7715,00;7988,149;20077;160341258,37;5635;
2020-02-19;8000,00;8015,00;7955,00;8050,00;7935,00;7990,00;8003,283;6126;49027499,78;1220;
2020-02-18;7880,00;7895,00;7920,00;7940,00;7815,00;7890,00;7865,456;4080;32088945,26;725;
2020-02-17;7950,00;7960,00;8095,00;8095,00;7925,00;7940,00;7978,315;3321;26485942,43;577;
2020-02-14;8025,00;8035,00;7980,00;8100,00;7900,00;8060,00;8047,229;4740;38140481;801;
2020-02-13;7970,00;7980,00;8000,00;8000,00;7880,00;7960,00;7953,163;5364;42701548,37;1038;
2020-02-12;8025,00;8040,00;8045,00;8085,00;7835,00;8015,00;8008,049;4181;33479117,12;894;
2020-02-11;8000,00;8010,00;7730,00;8010,00;7730,00;8010,00;7899,44;6571;51903859,95;1445;
2020-02-10;7720,00;7730,00;7785,00;7845,00;7685,00;7715,00;7745,38;4965;38454949;1026;
2020-02-07;7800,00;7815,00;7840,00;7935,00;7685,00;7805,00;7787,012;5286;41158289,74;1178;
2020-02-06;7875,00;7890,00;8010,00;8120,00;7845,00;7905,00;7942,843;7336;58272607,13;1512;
2020-02-05;7950,00;7960,00;7810,00;8015,00;7710,00;7940,00;7919,992;5299;41970099,95;1067;
2020-02-04;7785,00;7795,00;7510,00;7815,00;7495,00;7785,00;7744,563;7385;57188220,32;1346;
2020-02-03;7500,00;7505,00;7575,00;7595,00;7440,00;7505,00;7498,623;9081;68094204,9;1829;
2020-01-31;7610,00;7620,00;7655,00;7695,00;7520,00;7600,00;7617,291;10321;78617637;2305;
2020-01-30;7560,00;7570,00;7695,00;7720,00;7545,00;7545,00;7624,05;6939;52910231,45;1481;
2020-01-29;7775,00;7780,00;7800,00;7805,00;7720,00;7765,00;7759,071;4202;32604066,84;851;
2020-01-28;7750,00;7760,00;7830,00;7850,00;7660,00;7750,00;7727,354;8565;66176592,66;1628;
2020-01-27;7775,00;7785,00;8000,00;8005,00;7755,00;7785,00;7820,159;8725;68240865;1298;
2020-01-24;8130,00;8145,00;8055,00;8150,00;8055,00;8150,00;8091,203;10717;86718468,04;1308;
2020-01-23;8000,00;8010,00;8000,00;8135,00;7955,00;8005,00;8041,124;4795;38564995;969;
2020-01-22;8070,00;8080,00;8160,00;8190,00;8040,00;8060,00;8085,67;3955;31984788,55;771;
2020-01-21;8130,00;8145,00;8195,00;8195,00;8110,00;8150,00;8145,568;2594;21129606,95;544;
2020-01-20;8250,00;8255,00;8200,00;8270,00;8185,00;8240,00;8229,163;2656;21857452,15;508;
2020-01-17;8185,00;8195,00;8170,00;8315,00;8170,00;8205,00;8231,077;3906;32156822,96;807;
2020-01-16;8160,00;8170,00;8230,00;8365,00;8100,00;8170,00;8208,751;7068;58038613,66;1853;
2020-01-15;8240,00;8250,00;8510,00;8545,00;8235,00;8240,00;8310,747;7124;59236459,8;1225;
2020-01-14;8505,00;8515,00;8555,00;8590,00;8460,00;8505,00;8522,199;4961;42289563,59;875;
2020-01-13;8540,00;8550,00;8590,00;8655,00;8520,00;8550,00;8568,114;2187;18739718,84;397;
2020-01-10;8540,00;8550,00;8760,00;8765,00;8545,00;8550,00;8630,491;4210;36347889,38;889;
